instance,radius_mm,resect_pct,objective,subnetwork,value,pct_initial,removed_nodes
170,11,78.89800099227321,ge,Multiple_Demand_Extended_Network,0.49224806201550386,88.11100599180068,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 8, 10, 11, 12, 13, 17, 22, 24, 25, 27, 29, 31]"
170,11,78.89800099227321,modularity,overall,0.24249409966305657,99.66615785456517,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 8, 10, 11, 12, 13, 17, 22, 24, 25, 27, 29, 31]"
170,12,93.5400713535716,ge,overall,0.5263901784793149,92.74695811226867,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
170,12,93.5400713535716,ge,Visual_Network,0.6321353065539113,97.20942833920348,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
170,12,93.5400713535716,ge,Multiple_Demand_Extended_Network,0.49224806201550386,88.11100599180068,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
170,12,93.5400713535716,modularity,overall,0.24228440107766072,99.57997079952762,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
170,13,93.5400713535716,ge,overall,0.5263901784793149,92.74695811226867,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
170,13,93.5400713535716,ge,Visual_Network,0.6321353065539113,97.20942833920348,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
170,13,93.5400713535716,ge,Multiple_Demand_Extended_Network,0.49224806201550386,88.11100599180068,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
170,13,93.5400713535716,modularity,overall,0.24228440107766072,99.57997079952762,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
170,14,96.51147325777706,ge,overall,0.5211131744557927,91.81717999113847,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 0, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
170,14,96.51147325777706,ge,Visual_Network,0.6321353065539113,97.20942833920348,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 0, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
