instance,subnetwork,surrogate_prediction,surrogate_true,exact_true,gap_pct,surrogate_construction_s,surrogate_s,exact_construction_s,exact_s,jaccard,archived_exact_objective
184,Multiple_Demand_Extended_Network,0.5311817116240725,0.5326814658210006,0.5329457364341086,0.04958677685953073,109.15062403678894,9.460561990737915,414.601075,50.04576,0.88,0.5329457364340909
185,overall,0.5305130048436753,0.5332778809450118,0.5336041473228103,0.061143898418961194,92.0794632434845,9.687866926193237,439.111393,105.189322,0.9230769230769231,0.5336041473215247
185,Visual_Network,0.6787969946310994,0.6545102184637068,0.6545102184637068,0.0,92.0794632434845,11.784255027770996,439.111393,58.076062,0.8235294117647058,0.6545102184637109
185,Multiple_Demand_Extended_Network,0.5059242715318264,0.49365750528541225,0.49365750528541225,0.0,92.0794632434845,21.49705219268799,439.111393,59.276813,0.8181818181818182,0.4936575052853957
186,overall,0.5313639865859492,0.5369209738986896,0.5369209738986896,0.0,103.360769033432,9.467893838882446,571.013824,112.442768,1.0,0.5369209738973961
186,Visual_Network,0.6628659821631375,0.6478153629316419,0.6478153629316419,0.0,103.360769033432,17.991520881652832,571.013824,51.884079,0.7,0.6478153629316445
186,Multiple_Demand_Extended_Network,0.500830238787038,0.48661028893587027,0.48661028893587027,0.0,103.360769033432,14.37589693069458,571.013824,53.523883,0.7878787878787878,0.4866102889358552
187,overall,0.5262473408417838,0.5303556690395129,0.5303556690395129,0.0,108.88965702056885,11.649163961410522,548.252671,117.762848,1.0,0.5303556690382495
187,Visual_Network,0.6785913577194622,0.6571529245947851,0.6571529245947851,0.0,108.88965702056885,9.83614706993103,548.252671,52.041269,0.65625,0.6571529245947897
187,Multiple_Demand_Extended_Network,0.5071719009809181,0.4974453840732911,0.5154157857646229,3.4865834900016845,108.88965702056885,30.93433403968811,548.252671,65.023692,0.8666666666666667,0.5154157857646086
188,overall,0.551282417403201,0.5581476323119777,0.5581476323119777,0.0,108.84075713157654,5.43703293800354,459.457574,105.539867,1.0,0.5581476323105254
188,Visual_Network,0.5442323710568313,0.5532064834390416,0.5533826638477801,0.03183699458771463,108.84075713157654,7.600238084793091,459.457574,51.777011,0.9,0.5533826638477649
188,Multiple_Demand_Extended_Network,0.62340665864157,0.6062367864693446,0.6062367864693446,0.0,108.84075713157654,6.388288974761963,459.457574,44.014009,0.625,0.6062367864693355
189,overall,0.5367416300539569,0.5417001960177449,0.5423694934488806,0.12340248469355217,150.9343297481537,14.029030084609985,517.112691,116.071268,0.8181818181818182,0.5423694934475598
189,Visual_Network,0.6723172831917991,0.6569767441860465,0.6569767441860465,0.0,150.9343297481537,9.84225606918335,517.112691,52.001668,0.72,0.6569767441860511
189,Multiple_Demand_Extended_Network,0.493385332385622,0.49374559548978153,0.5097780126849895,3.1449801278728247,150.9343297481537,11.714508056640625,517.112691,64.820757,0.8461538461538461,0.5097780126849759
190,overall,0.5268672627253795,0.5311474775611266,0.5318180645826884,0.12609331390201378,112.42712736129761,19.1473548412323,452.086938,97.272655,0.8846153846153846,0.531818064581396
190,Visual_Network,0.65481159521635,0.6569767441860465,0.6569767441860465,0.0,112.42712736129761,14.409117937088013,452.086938,56.183547,0.78125,0.6569767441860509
190,Multiple_Demand_Extended_Network,0.5029630929171341,0.4885482734319943,0.4887244538407329,0.036049026676283936,112.42712736129761,15.795143127441406,452.086938,55.525574,0.8709677419354839,0.4887244538407169
191,overall,0.5398752736142877,0.5429162797895388,0.5429162797895388,0.0,109.6335117816925,19.480665922164917,550.764491,106.627697,1.0,0.5429162797881645
191,Visual_Network,0.6616640235117388,0.6576814658210007,0.6576814658210007,0.0,109.6335117816925,14.289592981338501,550.764491,50.882506,0.7307692307692307,0.6576814658210054
191,Multiple_Demand_Extended_Network,0.49039925516649746,0.48185341789992947,0.48264622973925303,0.1642635517430379,109.6335117816925,17.451100826263428,550.764491,92.872412,0.8461538461538461,0.4826462297392449
192,overall,0.5142563407554288,0.5231649128236873,0.5231649128236873,0.0,201.65899395942688,26.084909915924072,539.994802,87.185983,1.0,0.5231649128224197
192,Visual_Network,0.5542369060543574,0.5428118393234672,0.5428118393234672,0.0,201.65899395942688,14.71879506111145,539.994802,65.042561,0.9393939393939394,0.5428118393234508
192,Multiple_Demand_Extended_Network,0.5712509267334718,0.5521494009866103,0.5521494009866103,0.0,201.65899395942688,16.83491611480713,539.994802,54.352295,0.8285714285714286,0.5521494009865949
193,overall,0.5436935161258761,0.5470249148870319,0.5470249148870319,0.0,117.70892238616943,7.999610900878906,577.264428,136.79031,1.0,0.547024914885661
193,Visual_Network,0.6709409509457631,0.6295806906272021,0.6295806906272021,0.0,117.70892238616943,13.233790159225464,577.264428,70.629721,0.6551724137931034,0.629580690627203
193,Multiple_Demand_Extended_Network,0.506449267698178,0.4860817477096547,0.5015856236786469,3.0909729539866473,117.70892238616943,11.411243915557861,577.264428,61.193495,0.7037037037037037,0.5015856236786338
194,overall,0.5032243271200173,0.5063022284122562,0.5063589703910037,0.011205880030857032,154.35059809684753,25.94313883781433,467.62151,99.329178,0.8823529411764706,0.5063589703899902
194,Visual_Network,0.5999737278181456,0.6307258632840028,0.6307258632840028,0.0,154.35059809684753,45.086941957473755,467.62151,61.394362,0.8095238095238095,0.6307258632840034
194,Multiple_Demand_Extended_Network,0.5141329432143954,0.505461592670895,0.5069591261451727,0.29539530842746686,154.35059809684753,24.411149978637695,467.62151,55.389361,0.8947368421052632,0.506959126145162
195,overall,0.49476551949765274,0.4989786443825441,0.4989786443825441,0.0,101.22393584251404,56.58864712715149,472.441387,87.630708,1.0,0.4989786443817176
195,Visual_Network,0.5852684364984537,0.6340732910500352,0.6340732910500352,0.0,101.22393584251404,18.56506896018982,472.441387,51.593214,0.7948717948717948,0.6340732910500368
195,Multiple_Demand_Extended_Network,0.5197610660616685,0.5068710359408034,0.5068710359408034,0.0,101.22393584251404,21.888174057006836,472.441387,86.797301,0.8461538461538461,0.506871035940793
196,overall,0.5570045786829263,0.5579142164448572,0.5579142164448572,0.0,125.21343946456909,10.20867395401001,530.238836,99.065651,1.0,0.557914216443365
196,Visual_Network,0.5390428294429628,0.5264270613107822,0.5318886539816772,1.0268300761841613,125.21343946456909,62.11699199676514,530.238836,59.350253,0.7083333333333334,0.5318886539816595
196,Multiple_Demand_Extended_Network,0.5881474417056081,0.5909090909090909,0.5914376321353065,0.0893655049150944,125.21343946456909,6.86603307723999,530.238836,81.277653,0.88,0.5914376321352958
197,overall,0.5299381008177817,0.5371659960796451,0.5371659960796451,0.0,111.91445469856262,17.07409906387329,562.693775,98.443242,1.0,0.5371659960782851
197,Visual_Network,0.5045550281166326,0.4904862579281184,0.4904862579281184,0.0,111.91445469856262,16.83732509613037,562.693775,88.637203,0.9333333333333333,0.49048625792810635
197,Multiple_Demand_Extended_Network,0.6186698387916857,0.6065891472868218,0.6065891472868218,0.0,111.91445469856262,14.960518836975098,562.693775,59.769705,0.75,0.6065891472868127
198,overall,0.5324138909094406,0.5362310430207367,0.5362310430207367,0.0,110.33955478668213,22.060004949569702,571.387075,107.156821,1.0,0.5362310430194452
198,Visual_Network,0.6462360700501599,0.6331923890063424,0.6331923890063424,0.0,110.33955478668213,10.956967115402222,571.387075,45.206307,0.7241379310344828,0.6331923890063438
198,Multiple_Demand_Extended_Network,0.5619260111305424,0.5602536997885835,0.5604298801973221,0.03143665513989677,110.33955478668213,20.482583045959473,571.387075,44.158709,0.7096774193548387,0.5604298801973077
199,overall,0.5278329860264004,0.5334855050036108,0.5338453007324873,0.06739700216200852,98.85504198074341,16.36688494682312,519.455695,214.907693,0.84,0.5338453007311407
199,Visual_Network,0.4162940347441545,0.4129668780831572,0.41349541930937284,0.12782275244993752,98.85504198074341,20.29449200630188,519.455695,111.533156,0.8666666666666667,0.4134954193093648
199,Multiple_Demand_Extended_Network,0.6109047465551523,0.6085271317829458,0.6087033121916843,0.02894356005787225,98.85504198074341,24.639715909957886,519.455695,127.362434,0.7666666666666667,0.6087033121916755
200,overall,0.5122507471231125,0.5187145362632827,0.5187944908696998,0.015411614391479301,175.72520422935486,26.21441888809204,411.15699,84.354718,0.9310344827586207,0.5187944908685275
200,Visual_Network,0.6293323858172101,0.6555673009161382,0.6555673009161382,0.0,175.72520422935486,21.483750104904175,411.15699,61.246154,0.8055555555555556,0.6555673009161422
200,Multiple_Demand_Extended_Network,0.502140699466963,0.495507399577167,0.49621212121212116,0.14202023788389262,175.72520422935486,25.02768301963806,411.15699,57.909231,0.8787878787878788,0.4962121212121077
201,overall,0.5182685506759478,0.5221783761477354,0.5224775611265862,0.05726274219425165,98.04437065124512,53.492987871170044,388.556214,93.553269,0.8620689655172413,0.5224775611253601
201,Visual_Network,0.6618653901229512,0.6566243833685693,0.6566243833685693,0.0,98.04437065124512,16.986816883087158,388.556214,44.70546,0.8125,0.656624383368574
201,Multiple_Demand_Extended_Network,0.5517441097833016,0.56069415081043,0.5618393234672304,0.20382565067417674,98.04437065124512,46.02667689323425,388.556214,73.976595,0.9459459459459459,0.5618393234672147
